Year,Bachelor,1_Bedroom,2_Bedroom,3_Plus_Bedroom,Total_Units
2004,12130,66537,26324,4742,109733
2005,12197,66778,26341,4626,109942
2006,11999,65688,25950,4579,108216
2007,11885,65386,25753,4222,107246
2008,11543,65100,25465,4287,106395
2009,11763,65692,25757,4243,107455
2010,11708,65749,25863,4267,107587
2011,11685,65865,26009,4247,107806
2012,11668,65995,26240,4243,108146
2013,11785,66255,26327,4299,108666
2014,11988,66455,26543,4231,109217
2015,12017,66988,26786,4233,110024
2016,12040,67390,27310,4233,110973
2017,12397,67692,27298,4164,111551
2018,12365,68074,27662,4127,112228
2019,12492,68682,28328,4146,113648
2020,12977,69861,28878,4233,115949
2021,13258,70307,29478,4125,117168
2022,13505,71461,31391,4115,120472
2023,14148,73115,31980,4624,123867
