Zone,Bachelor,1_Bedroom,2_Bedroom,3_Plus_Bedroom,Total_Avg_Rent
West End/Stanley Park,1440,1825,2391,3036,1828
English Bay,1451,1958,3014,n/a,2020
Downtown,1791,2060,3109,n/a,2143
South Granville/Oak,1444,1716,2261,n/a,1779
Kitsilano/Point Grey,1441,1835,2606,3481,1987
Westside/Kerrisdale,1590,1732,2618,4126,2079
Marpole,1082,1366,1709,n/a,1396
Mount Pleasant/Renfrew Heights,1521,1609,2339,3489,1760
East Hastings,1535,1593,2317,2210,1719
Southeast Vancouver,1192,1606,1997,2148,1768
University Endowment Lands,1644,2218,2724,3494,2413
Central Park/Metrotown,1532,1536,1860,2488,1645
Southeast Burnaby,1032,1406,1740,n/a,1469
North Burnaby,1108,1590,2051,2238,1752
New Westminster,1357,1497,1908,2563,1622
North Vancouver CY,1449,1729,2198,2891,1879
North Vancouver DM,1526,2046,2677,2418,2332
West Vancouver,1628,2094,3061,4729,2488
Richmond,1501,1714,2028,2348,1862
Delta,932,1255,1834,2858,1523
Surrey,1355,1449,1668,1784,1565
White Rock,1025,1390,1666,n/a,1460
Langley City and Langley DM,1091,1551,2004,2088,1795
Tri-Cities,1404,1583,2061,2502,1782
Maple Ridge/Pitt Meadows,n/a,1324,1569,2189,1460
Vancouver,1489,1697,2187,2477,1828
