Zone,Total_Avg_Rent,Rent_Level,Total_Units
"West End/Stanley Park",1828,Medium,3910
"English Bay",2020,High,6864
Downtown,2143,High,12251
"South Granville/Oak",1779,Medium,9017
"Kitsilano/Point Grey",1987,Medium,7542
Westside/Kerrisdale,2079,High,3407
Marpole,1396,Low,3869
"Mount Pleasant/Renfrew Heights",1760,Medium,7378
"East Hastings",1719,Medium,6034
"Southeast Vancouver",1768,Medium,3556
"University Endowment Lands",2413,High,1475
"Central Park/Metrotown",1645,Low,5056
"Southeast Burnaby",1469,Low,2184
"North Burnaby",1752,Medium,4142
"New Westminster",1622,Low,9956
"North Vancouver CY",1879,Medium,6959
"North Vancouver DM",2332,High,2429
"West Vancouver",2488,High,2651
Richmond,1862,Medium,3513
Delta,1523,Low,1742
Surrey,1565,Low,7345
"White Rock",1460,Low,1427
"Langley City and Langley DM",1795,Medium,4064
Tri-Cities,1782,Medium,5194
Vancouver,1828,Medium,123867
